username;name;sex;mail;birthdate;country;city;street;password
imre98;Varga Ernő Pál;M;attilatakacs@yahoo.com;2004-01-23;Hungary;Mindszentfa;Debreceni utca 136.;3Pi3UhYvPvsT
emese49;Dr. Nagy A. Erika;F;agnes45@yahoo.com;1939-05-16;Hungary;Bakonymelléknádasd;Hetvenkőrösi tér 194.;plgvmWWM8Zpt
ynemeth;Prof. Dr. Fehérné Molnár Virág;F;borbelymarcell@yahoo.com;1983-05-31;Hungary;Tamásihida;Soproni utca 71.;3oPls0y62bhX
janos30;Dr. Varga Kovács Erika;F;fanninemes@gmail.com;2010-12-18;Hungary;Falva;Budatamásii utca 73.;eJOrSnilJCJ6
bbalazs;Dr. Baloghné Kiss Márta;F;lantal@gmail.com;1922-06-03;Hungary;Pécs;Nagykanizsai utca 209.;ONPZzEIz5rl5
baloghemma;Biró Máté Károly;M;erzsebet66@gmail.com;2001-10-26;Hungary;Hódmezővásárhely;Arany jános út 183.;9idjJ6Ci1G8B
lajossimon;Dr. Illés Péter Péter;M;janos93@yahoo.com;1983-07-29;Hungary;Nagyligetbánya;Mosontóti utca 210.;VIF9QNpb6Xvr
horvathtimea;Magyar Tamás;M;zszabi@yahoo.com;1934-06-02;Hungary;Bácshetvenháza;Bácshetveni utca 55.;hyZnXMI7f3xJ
jizsefnagy;Z. Szalai Péter;M;meszarosandras@yahoo.com;2021-05-12;Hungary;Tamásinémeti;Kaposvári utca 213.;RLJbzmEoa3id
sszilagyi;Szőke R. István;M;erzsebetbalogh@hotmail.com;2002-03-17;Hungary;Szentgyörgybánya;Petőfi utca 1.;usI6s5w5fe3G
zsoltfeher;Dr. Kissné Pataki Zsuzsanna;F;gusztavkovacs@hotmail.com;1996-02-27;Hungary;Szeged;Várai utca 221.;XATz4alD9wON
baloghmaria;Dr. Papp Anna;F;nagynikolett@gmail.com;1915-07-28;Hungary;Háthida;Mosonmagyaróvári tér 10.;8ZJPiGwNVtBn
nemethanett;Törökné Kiss Viktória;F;tithgabor@hotmail.com;1952-01-20;Hungary;Györgykőrös;Soproni utca 68.;1ICbDrfiyO3I
istvanfekete;Szabó Tóth Sándor;M;annavaradi@gmail.com;1961-05-16;Hungary;Tatabánya;Drávai utca 83.;1b1IfoTM6E9F
gabriellapap;Deákné Dr. Nagy Viktória;F;lfeher@yahoo.com;1985-10-19;Hungary;Vác;Hódmezővásárhelyi utca 45.;g7jxwOzx26Jx
attila36;Dr. Rácz Julianna Mária;F;horvathmargit@yahoo.com;1974-09-08;Hungary;Felsőhídfalu;Györgyhalasi út 79.;tGPONNB2RG6p
pasztorerzsebet;Tóth Imre;M;ilonaszucs@hotmail.com;1914-08-04;Hungary;Vára;Kossuth tér 230.;oIHUh6k8y5AG
gizellafeher;Nagy Antal;M;szabiilona@hotmail.com;2006-04-26;Hungary;Dunaújváros;Mátratóti utca 65.;f3O6OjqNebI6
ebalint;G. Kiss Lajos;M;szabolcs97@gmail.com;1952-05-16;Hungary;Győr;Egyházasfürdői tér 81.;0lAoUl5cAPxN
oliver23;Nagy Dávidné Molnár Ágnes;F;horvathszilvia@hotmail.com;1936-05-07;Hungary;Nyíregyháza;Tatabányai utca 76.;U2vKrfupf95B
zalanbalogh;Kiss Varga László;M;nemetherika@hotmail.com;1956-05-15;Hungary;Hódmezővásárhely;Salgótarjáni út 229.;d9qBr4aEy3Dd
nkovacs;Dr. Tóth József;M;gbalazs@gmail.com;1977-03-15;Hungary;Németligetnémeti;Szerbszéki tér 46.;o69bFsPxgFOL
andrea06;Dr. Szabóné Boros Enikő;F;minika89@gmail.com;2014-12-12;Hungary;Nyíregyháza;Nyékfürdői utca 247.;72HGqq0Sw2Xb
laszli85;Varga Jenőné Virág Andrea;F;szabianna@gmail.com;2002-08-06;Hungary;Tótfa;Tiszaligeti utca 7.;kWBF4ouP7PJO
efeher;Váradi Orsolya Orsolya;F;gyulanemeth@yahoo.com;1999-01-23;Hungary;Ligetharaszti;Székvárai tér 44.;mhdHMgKTR0K6
krisztinafarkas;Dr. Tóthné Lakatos Szilvia;F;bence70@gmail.com;1997-07-30;Hungary;Györgyberény;Tapolcakőrösi utca 97.;ep6LuWLsUTbV
kszoke;Dr. Fülöp Olivérné Szabó Anikó;F;szabinorbert@gmail.com;1911-07-27;Hungary;Némettótberény;Nagykanizsai utca 122.;9Wk5etX0TgQb
kristifpinter;Dr. Tóth Vass István;M;vereszsombor@yahoo.com;1968-07-26;Hungary;Tiszamártonfalva;Ady endre utca 239.;WibwodRC6THu
anikimolnar;A. Fazekas Ilona;F;renatahorvath@yahoo.com;2002-04-14;Hungary;Rácligetfalu;Ózdi utca 59.;Mm74HU0tx3NJ
ztith;Kocsisné Dr. Magyar Bernadett Gabriella;F;kissandrea@gmail.com;1938-08-21;Hungary;Mellékfa;Mártonváradi utca 143.;P4gbZeLaHKVm
laszligal;A. Szilágyi Erzsébet;F;opapp@yahoo.com;1951-06-17;Hungary;Mellékkőrös;Kossuth utca 106.;4WljHXgUkEln
horvathzoltan;Takács Éva;F;vargazsifia@gmail.com;1916-12-09;Hungary;Székhida;Nyékkereszti tér 65.;yi6yAdCj5fCO
bgulyas;Barta Fazekas Miklós;M;erzsebetjuhasz@hotmail.com;2008-12-28;Hungary;Mártonváros;József attila utca 76.;SmVlscMc43Ro
magyarmaria;Dr. Kovácsné Szabó Mónika;F;judit61@gmail.com;2017-03-02;Hungary;Somogytamásivára;Drávai utca 84.;5pKEyNYkMNx0
szoketamas;Dr. Vargané Fábián Julianna Anett;F;sandorkis@hotmail.com;1969-12-17;Hungary;Eger;Kaposvári utca 101.;5Z3k5Vl82EUe
erzsebet92;G. Biró János;M;kissandras@yahoo.com;1958-05-04;Hungary;Nagymártonhida;Szerbligeti utca 81.;5CxYTrvIUk7g
tnemes;Fábián N. Beáta;F;evaszabi@gmail.com;1958-03-17;Hungary;Oroszmindszentberény;Mindszenthidai utca 36.;1l0GPGzh4vz2
matevarga;Dr. Magyar István Bence;M;pappnorbert@yahoo.com;1992-08-13;Hungary;Mátratamásihida;Mosonmagyaróvári utca 224.;FiQJlRce2CcF
maria83;Dr. Farkas István Gergely;M;jolan99@hotmail.com;1980-01-17;Hungary;Dunaújváros;Nyéki utca 182.;74njacP2LnDG
jazmin82;Tóth Márk;M;dominik43@yahoo.com;1950-06-17;Hungary;Belsőhátnémeti;Kossuth utca 205.;BvjWm8Qewf87
bnagy;Halász Mária;F;nemethagnes@yahoo.com;2013-08-19;Hungary;Mellékfalva;Ózdi tér 67.;hMfsS1TL5Alb
mariannahalasz;Fehér László János;M;wsipos@gmail.com;1988-08-15;Hungary;Szerbhetvennádasd;Béke tér 248.;Yy0A1QawiPQD
hfodor;C. Kiss Rudolf;M;szabianna@yahoo.com;2000-04-29;Hungary;Törökszékharaszti;Béke utca 3.;uZKLyIAqb7OG
torokminika;Dr. Mészáros Márk;M;jfarkas@yahoo.com;1968-06-24;Hungary;Mosonbánya;Tamásinémetii utca 137.;urKG6tOlkj5N
ftith;Barta János;M;fnagy@gmail.com;1998-03-03;Hungary;Budapest;Kunmindszenti utca 232.;VwURqamX6SoT
nagysandor;Dr. Takács K. Zoltán;M;fulopjanos@hotmail.com;1990-04-16;Hungary;Kecskemét;Kaposvári utca 214.;yZKpnlad68Ph
qbogdan;Borbélyné Dr. Vass Dorottya Mónika;F;nagybela@gmail.com;1968-06-21;Hungary;Hátváros;Dózsa györgy utca 237.;mF7fiaKCfKm8
katalinjuhasz;Fazekas G. György;M;zsoltnemeth@gmail.com;1989-11-08;Hungary;Kishetvennémeti;Szerbhídi utca 101.;h6Z5zgPDME70
sandorvarga;Dr. Lakatos Mária;F;istvan55@hotmail.com;1975-06-28;Hungary;Békéscsaba;Törökfürdői út 231.;M4OytBs5OBx4
lszabi;Kovács Virág Anita;F;terezbakos@gmail.com;1909-11-24;Hungary;Zalaegerszeg;Mellékvári tér 194.;9VvK6e2g71cD
akovacs;Á. Szekeres László;M;veresgyorgy@yahoo.com;1950-09-04;Hungary;Tamásibánya;Ady endre utca 77.;fHBuD1uUyb7T
janostith;Kissné Balogh Judit;F;rozaliabodnar@yahoo.com;1980-07-05;Hungary;Mindszentvár;Petőfi sándor utca 178.;2DyQl61hQW2e
arpadtamas;Gáspárné Dr. Farkas Alexandra;F;ildiki80@gmail.com;1953-12-20;Hungary;Györgyhida;Pilisfürdői tér 114.;I3n4qTgBzURR
timea88;Dr. Gál Balogh Zoltán;M;ervinkovacs@yahoo.com;1962-04-08;Hungary;Székfa;Orosztamásii út 130.;UycLyMi2pL01
yszilagyi;Kiss Péterné;F;olahcsaba@yahoo.com;2018-05-10;Hungary;Veszprém;Tatabányai út 167.;IfJQFVfzsc4B
horvathlajos;Nagy Ádámné Sándor Mária;F;pappklara@yahoo.com;1943-08-02;Hungary;Devecser;Béke utca 150.;kwD6DHZx6Xh7
afarkas;Dr. A. Nagy Ákos;M;patrik00@yahoo.com;1996-08-19;Hungary;Békésszéknádasd;Nyírfürdői utca 148.;FileDfPwR18A
erika36;Molnár János János;M;nagyzoltan@hotmail.com;2003-08-20;Hungary;Fürdőfalu;Hajdúgyörgyi utca 16.;KLhfnho00Nyf
wnagy;Farkas Kovács Kristóf;M;erzsebet93@yahoo.com;1909-11-16;Hungary;Cegléd;Tiszakereszti utca 174.;Hy7Na6K1S1Kc
elengyel;Dr. Kiss Éva;F;zsuzsannaszalai@hotmail.com;1981-01-28;Hungary;Dunaújváros;Mellékkövesdi utca 206.;zgIFeZYuV7PJ
ydeak;Dr. Fehér Mihályné;F;epataki@gmail.com;1970-06-29;Hungary;Kecskemét;Tapolcahidai utca 3.;QPUUjz2wViv1
kelemenannamaria;Szabó György;M;gergely93@gmail.com;1985-10-19;Hungary;Rácmártonvára;József attila utca 39.;6Tvnxkym8r6Y
kissistvan;Horváth Péter Katalin;F;andreanemeth@gmail.com;1983-05-30;Hungary;Baja;Hidai utca 226.;XOisbXDV4Cd1
lvoros;Dr. M. Oláh Mónika;F;lilipapp@yahoo.com;1925-05-19;Hungary;Nyíregyháza;Szentligeti utca 144.;56MHD7tNI18m
ikovacs;Horváthné Dr. Vincze Petra;F;janos18@gmail.com;1948-02-24;Hungary;Nyékmártondevecser;Hetvenapátii utca 247.;iF68tFat5EbE
istvan89;Dr. Varga Balázs Lajos;M;anna74@gmail.com;1999-06-13;Hungary;Hátfalu;Hídnádasdi utca 1.;t9PthlXae4Pp
agnes70;Dr. Horváth Richárdné Nagy Luca;F;lengyeltamas@hotmail.com;1966-06-26;Hungary;Sopron;Szabadság utca 21.;zDgxZaK3c191
nemetharon;Molnár Ákosné;F;olahdira@yahoo.com;1926-06-17;Hungary;Békéscsaba;Hetvenhalasi utca 114.;23JRxeJsH9JL
annaszekely;Nagy Kovács Zsuzsanna;F;attilatith@hotmail.com;1923-02-01;Hungary;Bakonyhetvenfa;Szombathelyi utca 95.;wyzss4fvn5VN
tibor12;Bodnár S. Lili;F;zmolnar@hotmail.com;1952-06-17;Hungary;Hetvenháza;Borsodmártoni utca 92.;VdmJq42CCK1o
mihaly09;Molnár Károly Attila;M;kkovacs@hotmail.com;1996-04-13;Hungary;Györgyapáti;Debreceni út 155.;CAfCIWSM7KuO
enikogulyas;Veres Richárd Péter;M;margit13@hotmail.com;1965-04-15;Hungary;Miskolc;Dózsa györgy utca 200.;AC51doSLOC2N
anagy;Dr. Kiss Szabó István;M;gyula39@gmail.com;1983-01-15;Hungary;Hetvenfa;Miskolci utca 45.;JMS4oeM40Ibu
zoltan50;Szabó Ádámné Csonka Erika;F;lpapp@hotmail.com;1995-01-10;Hungary;Tiszatóthalas;Debreceni utca 37.;AYnCVQScC3EI
mezeizoltan;Horváth Iván István;M;vbakos@gmail.com;1942-04-19;Hungary;Hídvárad;Székesfehérvári utca 242.;bx20IdhOatWB
galanita;Farkasné Kis Erzsébet Mária;F;krisztian55@gmail.com;1958-06-22;Hungary;Érd;Béke út 207.;rOpv17Ao1FSg
tithjolan;Virág Alexandra Erzsébet;F;fehermiklis@yahoo.com;2010-06-07;Hungary;Szigetszentmiklós;Borsodkereszti utca 75.;LaBwZDcNjJ1B
irmajuhasz;Dr. Orosz Barnabás;M;ukovacs@yahoo.com;2018-11-19;Hungary;Pilismellékapáti;Oroszmártoni tér 54.;Ce3r6ZrxygA3
rolandpinter;Kovács L. Martin;M;laszlinemeth@hotmail.com;1926-01-22;Hungary;Bakonytapolcafalu;József attila utca 193.;VMXQw0IdW0eC
gabriella23;Török Ferenc;M;eva71@yahoo.com;1956-10-18;Hungary;Eger;Tapolcafai tér 44.;BnYmYsmaG5ie
benedekpapp;Dr. Barna Károly Ernő;M;raczanett@yahoo.com;2013-04-03;Hungary;Vác;Szegedi utca 35.;QNN7uFXl78Lb
eniko23;Horváth Kovács Ildikó;F;gkovacs@gmail.com;1926-06-24;Hungary;Drávatamásiháza;Béke utca 153.;HUlN9VFprzF0
peter74;Szücs Tóth László;M;mihalybiri@hotmail.com;2010-06-05;Hungary;Békéscsaba;Dunaújvárosi utca 150.;8k76ueBdv4XC
lajoshorvath;Dr. Németh Dánielné Papp Zsuzsanna;F;henriettaszabi@gmail.com;1909-07-03;Hungary;Tatabánya;Györgykőrösi utca 35.;K6opDxjyXymT
horosz;Kiss C. Renáta;F;osimon@hotmail.com;1928-02-16;Hungary;Mosonmagyaróvár;Lajostamásii utca 137.;oNRQZgkr70z1
qjuhasz;Nagyné Hegedűs Dóra;F;mateveres@yahoo.com;1991-08-31;Hungary;Pusztamellékvára;Mezőhídi út 166.;64bi1HX4bkGY
beataantal;Fekete Szilárd;M;akovacs@gmail.com;2013-08-10;Hungary;Tamásidevecser;Kossuth utca 240.;4M5BlFTcsF87
lkovacs;Dr. Farkas András;M;dkovacs@gmail.com;1983-07-02;Hungary;Oroszmindszentfalu;Szabadság utca 207.;yDD1lQZn5G5s
markjuhasz;Mészáros L. Krisztián;M;pinterzsuzsanna@hotmail.com;1965-08-31;Hungary;Hátvárad;Györgyapátii utca 96.;2RHegdhwu6tp
tithkrisztian;Dr. Máté László;M;varadikatalin@gmail.com;1995-11-29;Hungary;Ligetapáti;Tamásiapátii utca 26.;2mqcGYwC5Qcd
baloghlaszli;Deák Székely Éva;F;kovacskaroly@hotmail.com;1975-03-05;Hungary;Nagykanizsa;Békéscsabai utca 238.;11VGr7DtDjwG
peter95;Horváth László;M;bkocsis@hotmail.com;2020-01-07;Hungary;Keresztfalu;Ráchídi tér 108.;DKNZHorz1HqO
qtorok;Oláhné Dr. Horváth Katalin;F;erzsebet33@yahoo.com;1919-12-07;Hungary;Ráchídfalu;Soproni út 49.;CaWrlJSk7DDM
blukacs;L. Horváth István;M;arankaszabi@gmail.com;1914-03-04;Hungary;Székesfehérvár;József attila utca 58.;POWpgUAC9hHw
marta57;Dr. Tóth József István;M;rkovacs@yahoo.com;2008-06-03;Hungary;Budapest;Borsodfürdői tér 92.;ZhAChvN67cXu
szalaisandor;Dr. T. Tamás Csaba;M;petra94@gmail.com;1986-01-22;Hungary;Fürdővára;Székesfehérvári utca 142.;5ZcXN3JjRJvi
birijudit;Dr. Orsós Ákosné;F;antalilona@gmail.com;1924-12-04;Hungary;Kismindszentváros;Petőfi sándor utca 122.;0vQTBEqGbRo7
csabajakab;Dr. Varga Gizella;F;katalin61@gmail.com;1913-05-01;Hungary;Győr;Dózsa györgy utca 174.;7Kun6sjNyv3y
ilona82;Szabó Vincze Tibor;M;laszli44@hotmail.com;2005-01-10;Hungary;Györgyapáti;József attila utca 219.;8cTqawze2QCt
szabieszter;Dr. Szabó Erzsébet;F;gretakovacs@hotmail.com;1974-06-19;Hungary;Miskolc;Arany jános tér 53.;7WrRIxYrFtJX
qtakacs;Szabó János;M;yvass@yahoo.com;2009-05-27;Hungary;Felsőtamásihida;Bácstapolcai utca 197.;8SzEfHgHzIIZ
szabizsuzsanna;Tóth Györgyné;F;simondavid@gmail.com;1978-04-23;Hungary;Györgyberény;Nyíregyházai utca 96.;QHCbuytNw61M
gabriellamolnar;Vincze Szekeres Marcell;M;terezianagy@gmail.com;1966-04-15;Hungary;Székkőrös;Petőfi út 214.;AwVWOA7hE6Kp
zoltanhorvath;Dr. Fábián Zsuzsanna Judit;F;laszlihalasz@yahoo.com;1982-07-10;Hungary;Kismellékháza;Szombathelyi tér 147.;W6I6hoRQGrzX
annafarkas;Dr. Kocsisné Rácz Rozália;F;janos14@hotmail.com;1970-03-05;Hungary;Keresztkövesd;Soproni tér 170.;O7sqLwg11DqP
oilles;Kissné Szabó Katalin;F;cfazekas@gmail.com;1947-11-04;Hungary;Hídfalva;Arany jános utca 209.;8jG54imP06bU
sandor11;Dr. Kiss Lakatos Piroska;F;iren20@hotmail.com;2003-02-01;Hungary;Nagykanizsa;Arany jános utca 194.;8JpJhVrzZ6hN
esimon;Kovács Erika Erzsébet;F;erzsebet31@yahoo.com;1930-01-21;Hungary;Balatonmártonapáti;Petőfi út 151.;6aKosfTsmz5n
laszlihorvath;Király Nagy Péter;M;csaba09@gmail.com;2007-01-14;Hungary;Tapolcabánya;Veszprémi utca 166.;2Zt9dr8Q83d3
szabikrisztian;Oláh Jázmin Beáta;F;csabalakatos@hotmail.com;1940-01-25;Hungary;Kunfalu;Mártonbányai utca 126.;LdRSl2pNXD5L
magdolnahalasz;Farkas A. László;M;lauralakatos@gmail.com;1926-12-28;Hungary;Szolnok;Arany jános út 37.;509sIOEm5Fgq
imrekiss;Kiss József;M;aantal@gmail.com;1952-09-24;Hungary;Szerbhetvenbánya;Somogyhetveni utca 78.;d6nRNTxXMmIW
wszucs;Kovács Magyar Rozália;F;vargaanna@hotmail.com;1966-10-27;Hungary;Hídapáti;Szabadság tér 204.;ScXnh3ZD3HiB
ilonalakatos;Horváth Róbert László;M;irmameszaros@gmail.com;1930-12-20;Hungary;Érd;Székfalui utca 154.;M64xlJKyrUSp
zsoltmagyar;Baloghné Dr. Simon Margit Aranka;F;siposeva@yahoo.com;2006-08-05;Hungary;Békésmelléknémeti;Szentháti utca 238.;Rm68UZnuMe8F
maria67;M. Faragó Gyula;M;feherdaniel@hotmail.com;1986-10-23;Hungary;Mosonmagyaróvár;Szigetszentmiklósi utca 171.;6KMYXjsy3Z0u
karolyszucs;S. Horváth Ákos;M;janos75@yahoo.com;2002-10-22;Hungary;Salgótarján;Ceglédi utca 60.;IlJgvqfKBO39
lhegedus;Szabó Gábor;M;maria74@gmail.com;1973-07-13;Hungary;Tiszahátkövesd;Egeri utca 52.;FZlGWC1o4mi8
mracz;Sándorné Dr. Váradi Boglárka Erzsébet;F;martin60@hotmail.com;1987-07-15;Hungary;Hídváros;Ady endre utca 110.;a2IehovtiZB9
gkiss;Kovács Németh László;M;istvan32@yahoo.com;1910-07-30;Hungary;Németmindszentnádasd;Ady endre utca 54.;P9AwLktBs64U
kbalogh;Kiss G. Ádám;M;marianna13@gmail.com;1943-06-06;Hungary;Pilishátbánya;Szolnoki utca 170.;v2uN2SBx22AJ
fnemeth;Vinczené Dr. Szalai Erzsébet Judit;F;erzsebettakacs@gmail.com;2018-03-25;Hungary;Tatabánya;Tatabányai utca 175.;rEviXxUu2yOO
bogdaneva;Kovács Sándor;M;janos76@yahoo.com;1932-03-28;Hungary;Dunakeszi;Keresztberényi utca 188.;EqUhQTllqj9d
janos60;Dr. Lakatos László;M;peterbogdan@yahoo.com;1997-07-18;Hungary;Ligethida;Ózdi utca 23.;XnxJIL5tcdk5
niranemeth;Horváth Zsoltné Hegedűs Irma;F;balintpap@yahoo.com;1963-09-14;Hungary;Eger;Ligetváradi út 68.;twJMx8rl6X7L
itith;Horváth Dávidné Horváth Ilona;F;zsoltsimon@gmail.com;2023-01-21;Hungary;Nagyfürdőhalas;Györgyfai tér 147.;N6qBJnQF5GZL
jbakos;Baloghné Dr. Sárközi Aranka;F;kozmapetra@yahoo.com;2005-08-15;Hungary;Miskolc;Berényi utca 180.;kdH8lIQmN8UJ
krisztianbudai;Kozma Gáborné Tóth Andrea;F;yveres@hotmail.com;2023-12-30;Hungary;Rácmártonváros;Szentligeti utca 33.;7un4CAjxi3HH
terezbalogh;Dr. J. Fehér Attila;M;erzsebet28@hotmail.com;1917-01-12;Hungary;Tiszahetvenberény;Szigetszentmiklósi tér 95.;g003OZrd20Ep
vfarkas;Molnárné Dr. Gulyás Erika;F;eniko86@hotmail.com;1996-12-17;Hungary;Kereszthida;Felsőtamásii utca 77.;CKbewQw1C9Ny
efarkas;Gálné Dr. Németh Terézia Katalin;F;lengyeljizsef@gmail.com;1994-03-30;Hungary;Fürdőhida;Petőfi sándor tér 83.;45bn0WPzqBHW
jizsefkiss;Dr. Nagy József Miklós;M;vszilagyi@yahoo.com;1923-09-19;Hungary;Miskolc;Nyíregyházai tér 238.;i51gDiNcBohF
vnagy;Fülöp Istvánné;F;tkiss@hotmail.com;1951-12-23;Hungary;Szigetszentmiklós;Egeri utca 177.;sKnwPNo9jN5s
belafaragi;Vargané Kiss Zsófia;F;andrea25@yahoo.com;1987-03-14;Hungary;Budatótfalva;Nagyháti utca 25.;65UYtxGemnH8
kristifkiss;Farkas Martin;M;szokeerzsebet@hotmail.com;1928-08-09;Hungary;Tóthida;Újhetveni utca 157.;K02ViUjv86Ai
szabiistvan;R. Pintér Csaba;M;andras58@hotmail.com;1931-01-26;Hungary;Hajdúhátfalu;Hetvenfai utca 116.;xfl06O6vClOt
hajdugyorgy;Dr. Horváth Balázs Sándor;M;lszoke@yahoo.com;1985-03-07;Hungary;Mártonháza;Petőfi utca 102.;6pPyb23lHHAn
maria29;A. Szűcs Géza;M;pappkatalin@hotmail.com;1984-03-24;Hungary;Győr;Mellékfai utca 215.;5mDLPk6dRptB
bhorvath;Oláh K. Adrián;M;fszabi@gmail.com;1942-09-17;Hungary;Salgótarján;Mátraligeti utca 155.;JmqDB07kmwR7
fnagy;Kovács T. Sándor;M;igal@hotmail.com;1985-03-03;Hungary;Mellékdevecser;Belsőtamásii utca 52.;kONJ0WGeIo2F
gyorgy89;Dr. Horváthné Horváth Ibolya Dorottya;F;ikerekes@yahoo.com;1993-03-14;Hungary;Szeged;Végi út 153.;vKHByBKfH8fk
kissgabor;Tóth A. Rita;F;gaborracz@gmail.com;1918-06-11;Hungary;Mindszentháza;Németszéki utca 194.;6tReWmZrPFwA
enagy;Horváth Szabolcs;M;annakiss@hotmail.com;1964-03-20;Hungary;Székváros;Tapolcavárai utca 14.;slQVfXkdz98S
ilona57;Kis Roland;M;mihaly84@hotmail.com;2007-11-20;Hungary;Hídharaszti;Györgynádasdi utca 217.;3vhVPHoIFcwf
irmanagy;I. Faragó Gergő;M;martonjizsef@gmail.com;1992-12-05;Hungary;Nyírszékapáti;Felsőmártoni utca 158.;H4bGdC5tg1q8
bence77;Nagy Nagy Antal;M;baloghhenrietta@gmail.com;1915-01-13;Hungary;Budatamásiváros;Falui utca 107.;dinNYTaV0Kej
gabriella36;Dr. Balogh Mészáros András;M;margitkis@hotmail.com;1931-05-06;Hungary;Keresztapáti;Arany jános utca 139.;4U7wx4lc8BlK
olaholiver;Deák Lajos;M;rozalia24@hotmail.com;2024-12-17;Hungary;Györgyberény;Kossuth utca 77.;yKAavbqM56Kt
vargaferenc;V. Lakatos Barbara;F;katalin37@yahoo.com;1941-09-10;Hungary;Bácskeresztváros;Salgótarjáni utca 89.;PZMcthFb02as
kiralymaria;Farkas László;M;pvarga@gmail.com;1970-06-20;Hungary;Kuntóthalas;Mindszenthalasi utca 232.;EUDwAvyiWgG2
tamasvass;Tamás Nagy István;M;krisztiannagy@gmail.com;1989-04-09;Hungary;Györgyvég;Szegedi utca 61.;nnX9lDcXeh0q
agneshegedus;Fábián S. Károly;M;okovacs@yahoo.com;2019-11-28;Hungary;Kunligetberény;Mezőtóti köz 137.;Q9nHGDjl1oNG
jakabgabriella;K. Mezei Gábor;M;istvan90@yahoo.com;1929-09-12;Hungary;Háthida;Székvári utca 22.;8XHWl9Etc2N2
pbalogh;M. Nemes Piroska;F;mariafeher@yahoo.com;2008-09-27;Hungary;Hetvenvár;Petőfi sándor út 194.;2WDJLxsoIyOL
martakovacs;Lengyel I. Béla;M;zsigmondkovacs@yahoo.com;1953-04-11;Hungary;Szentkövesd;Dózsa györgy tér 157.;8y5xrmiW0PC1
evabalogh;Katonané Molnár Katalin Csilla;F;vinczeanna@hotmail.com;1941-08-28;Hungary;Hida;Szenttamásii utca 30.;q2ws3sMyboNN
raczistvan;Gál Erika;F;kjakab@hotmail.com;2015-07-17;Hungary;Szombathely;József attila utca 138.;d5SmIltZnrxt
